Model,frame,Prompt_Style,Sample_Size,ev_a,p_a,ev_b,p_b,y_a,y_b,x_a,x_b,ratio_a_False,ratio_a_True,n_valid_False,n_valid_True,average_first_option_rate,n_valid_total
deepseek/deepseek-chat,gain,one_sentence_reasoning,0,4000,0.8,3500,1,0,3500,5000,3500,0.1,0,10,10,0.55,20
deepseek/deepseek-chat,loss,math_reasoning_one,0,-4000,0.8,-3500,1,0,-3500,-5000,-3500,0,0.777777778,10,9,0.111111111,19
deepseek/deepseek-chat,loss,math_reasoning_one,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0,1,10,10,0,20
deepseek/deepseek-chat,loss,math_reasoning_one,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,0.9,0,10,9,0.95,19
deepseek/deepseek-chat,loss,no_explanation,0,-4000,0.8,-3500,1,0,-3500,-5000,-3500,0,0.9,10,10,0.05,20
deepseek/deepseek-chat,loss,no_explanation,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0,0,10,10,0.5,20
deepseek/deepseek-chat,loss,no_explanation,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,0.4,0.1,10,10,0.65,20
deepseek/deepseek-chat,loss,one_sentence_reasoning,0,-4000,0.8,-3500,1,0,-3500,-5000,-3500,0,0,10,10,0.5,20
deepseek/deepseek-chat,loss,one_sentence_reasoning,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0,0,10,10,0.5,20
deepseek/deepseek-chat,loss,one_sentence_reasoning,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,0,0,10,10,0.5,20
deepseek/deepseek-r1-0528,gain,math_reasoning_one,0,0.7,0.1,0.8,0.2,0,0,7,4,0,1,10,10,0,20
deepseek/deepseek-r1-0528,gain,math_reasoning_one,0,33.3,0.33,32.64,0.34,0,0,100,96,1,0,10,10,1,20
deepseek/deepseek-r1-0528,gain,math_reasoning_one,0,4000,0.8,3500,1,0,3500,5000,3500,1,0,10,10,1,20
deepseek/deepseek-r1-0528,gain,no_explanation,0,0.7,0.1,0.8,0.2,0,0,7,4,0,1,10,10,0,20
deepseek/deepseek-r1-0528,gain,no_explanation,0,33.3,0.33,32.64,0.34,0,0,100,96,1,0,10,10,1,20
deepseek/deepseek-r1-0528,gain,no_explanation,0,4000,0.8,3500,1,0,3500,5000,3500,0.8,0,10,10,0.9,20
deepseek/deepseek-r1-0528,gain,one_sentence_reasoning,0,0.7,0.1,0.8,0.2,0,0,7,4,0,1,10,10,0,20
deepseek/deepseek-r1-0528,gain,one_sentence_reasoning,0,33.3,0.33,32.64,0.34,0,0,100,96,0.6,0,10,10,0.8,20
deepseek/deepseek-r1-0528,gain,one_sentence_reasoning,0,4000,0.8,3500,1,0,3500,5000,3500,0.5,0,10,10,0.75,20
deepseek/deepseek-r1-0528,loss,math_reasoning_one,0,-4000,0.8,-3500,1,0,-3500,-5000,-3500,0,1,10,10,0,20
deepseek/deepseek-r1-0528,loss,math_reasoning_one,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0,0.9,10,10,0.05,20
deepseek/deepseek-r1-0528,loss,math_reasoning_one,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1,0,10,10,1,20
deepseek/deepseek-r1-0528,loss,no_explanation,0,-4000,0.8,-3500,1,0,-3500,-5000,-3500,0.2,0.6,10,10,0.3,20
deepseek/deepseek-r1-0528,loss,no_explanation,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0,1,10,10,0,20
deepseek/deepseek-r1-0528,loss,no_explanation,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1,0,10,10,1,20
deepseek/deepseek-r1-0528,loss,one_sentence_reasoning,0,-4000,0.8,-3500,1,0,-3500,-5000,-3500,0,0.5,10,10,0.25,20
deepseek/deepseek-r1-0528,loss,one_sentence_reasoning,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0,1,10,9,0,19
deepseek/deepseek-r1-0528,loss,one_sentence_reasoning,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,0.9,0,10,10,0.95,20
google/gemini-2.5-flash,gain,math_reasoning_one,0,0.7,0.1,0.8,0.2,0,0,7,4,0.2,0.6,10,10,0.3,20
google/gemini-2.5-flash,gain,math_reasoning_one,0,33.3,0.33,32.64,0.34,0,0,100,96,0.7,0.1,10,10,0.8,20
google/gemini-2.5-flash,gain,math_reasoning_one,0,4000,0.8,3500,1,0,3500,5000,3500,1,0.2,10,10,0.9,20
google/gemini-2.5-flash,gain,no_explanation,0,0.7,0.1,0.8,0.2,0,0,7,4,1,0.7,10,10,0.65,20
google/gemini-2.5-flash,gain,no_explanation,0,33.3,0.33,32.64,0.34,0,0,100,96,0.4,0.8,10,10,0.3,20
google/gemini-2.5-flash,gain,no_explanation,0,4000,0.8,3500,1,0,3500,5000,3500,1,0.6,10,10,0.7,20
google/gemini-2.5-flash,gain,one_sentence_reasoning,0,0.7,0.1,0.8,0.2,0,0,7,4,0.8,0.8,10,10,0.5,20
google/gemini-2.5-flash,gain,one_sentence_reasoning,0,33.3,0.33,32.64,0.34,0,0,100,96,0.7,0.6,10,10,0.55,20
google/gemini-2.5-flash,gain,one_sentence_reasoning,0,4000,0.8,3500,1,0,3500,5000,3500,0.8,0.1,10,10,0.85,20
google/gemini-2.5-flash,loss,math_reasoning_one,0,-4000,0.8,-3500,1,0,-3500,-5000,-3500,0.444444444,1,9,10,0.222222222,19
google/gemini-2.5-flash,loss,math_reasoning_one,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.375,0.555555556,8,9,0.409722222,17
google/gemini-2.5-flash,loss,math_reasoning_one,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1,0.5,10,10,0.75,20
google/gemini-2.5-flash,loss,no_explanation,0,-4000,0.8,-3500,1,0,-3500,-5000,-3500,0,0.8,10,10,0.1,20
google/gemini-2.5-flash,loss,no_explanation,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.8,0.8,10,10,0.5,20
google/gemini-2.5-flash,loss,no_explanation,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1,0.9,10,10,0.55,20
google/gemini-2.5-flash,loss,one_sentence_reasoning,0,-4000,0.8,-3500,1,0,-3500,-5000,-3500,0,1,10,10,0,20
google/gemini-2.5-flash,loss,one_sentence_reasoning,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.8,0.8,10,10,0.5,20
google/gemini-2.5-flash,loss,one_sentence_reasoning,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1,0.8,10,10,0.6,20
google/gemini-2.5-pro,gain,math_reasoning_one,0,0.7,0.1,0.8,0.2,0,0,7,4,0,1,10,10,0,20
google/gemini-2.5-pro,gain,math_reasoning_one,0,33.3,0.33,32.64,0.34,0,0,100,96,1,0,10,10,1,20
google/gemini-2.5-pro,gain,math_reasoning_one,0,4000,0.8,3500,1,0,3500,5000,3500,1,0,10,10,1,20
google/gemini-2.5-pro,gain,no_explanation,0,0.7,0.1,0.8,0.2,0,0,7,4,0,1,10,10,0,20
google/gemini-2.5-pro,gain,no_explanation,0,33.3,0.33,32.64,0.34,0,0,100,96,0.9,0,10,10,0.95,20
google/gemini-2.5-pro,gain,no_explanation,0,4000,0.8,3500,1,0,3500,5000,3500,0.1,0.1,10,10,0.5,20
google/gemini-2.5-pro,gain,one_sentence_reasoning,0,0.7,0.1,0.8,0.2,0,0,7,4,0,1,10,10,0,20
google/gemini-2.5-pro,gain,one_sentence_reasoning,0,33.3,0.33,32.64,0.34,0,0,100,96,0.9,0,10,10,0.95,20
google/gemini-2.5-pro,gain,one_sentence_reasoning,0,4000,0.8,3500,1,0,3500,5000,3500,0.5,0,10,10,0.75,20
google/gemini-2.5-pro,loss,math_reasoning_one,0,-4000,0.8,-3500,1,0,-3500,-5000,-3500,0,0.9,10,10,0.05,20
google/gemini-2.5-pro,loss,math_reasoning_one,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0,1,9,10,0,19
google/gemini-2.5-pro,loss,math_reasoning_one,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1,0,10,10,1,20
google/gemini-2.5-pro,loss,no_explanation,0,-4000,0.8,-3500,1,0,-3500,-5000,-3500,0.2,0.4,10,10,0.4,20
google/gemini-2.5-pro,loss,no_explanation,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.3,0.8,10,10,0.25,20
google/gemini-2.5-pro,loss,no_explanation,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1,0,10,10,1,20
google/gemini-2.5-pro,loss,one_sentence_reasoning,0,-4000,0.8,-3500,1,0,-3500,-5000,-3500,0,0.8,10,10,0.1,20
google/gemini-2.5-pro,loss,one_sentence_reasoning,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0,0.9,10,10,0.05,20
google/gemini-2.5-pro,loss,one_sentence_reasoning,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1,0,10,10,1,20
openai/gpt-4.1,gain,math_reasoning_one,0,0.7,0.1,0.8,0.2,0,0,7,4,0.2,1,10,10,0.1,20
openai/gpt-4.1,gain,math_reasoning_one,0,33.3,0.33,32.64,0.34,0,0,100,96,1,0.4,10,10,0.8,20
openai/gpt-4.1,gain,math_reasoning_one,0,4000,0.8,3500,1,0,3500,5000,3500,0.6,0.7,10,10,0.45,20
openai/gpt-4.1,gain,no_explanation,0,0.7,0.1,0.8,0.2,0,0,7,4,0,1,10,10,0,20
openai/gpt-4.1,gain,no_explanation,0,33.3,0.33,32.64,0.34,0,0,100,96,0,1,10,10,0,20
openai/gpt-4.1,gain,no_explanation,0,4000,0.8,3500,1,0,3500,5000,3500,0,0.1,10,10,0.45,20
openai/gpt-4.1,gain,one_sentence_reasoning,0,0.7,0.1,0.8,0.2,0,0,7,4,0,1,10,10,0,20
openai/gpt-4.1,gain,one_sentence_reasoning,0,33.3,0.33,32.64,0.34,0,0,100,96,0,1,10,10,0,20
openai/gpt-4.1,gain,one_sentence_reasoning,0,4000,0.8,3500,1,0,3500,5000,3500,0,0.2,10,10,0.4,20
openai/gpt-4.1,loss,math_reasoning_one,0,-4000,0.8,-3500,1,0,-3500,-5000,-3500,0.7,0.9,10,10,0.4,20
openai/gpt-4.1,loss,math_reasoning_one,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.4,0.7,10,10,0.35,20
openai/gpt-4.1,loss,math_reasoning_one,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,0.4,0.7,10,10,0.35,20
openai/gpt-4.1,loss,no_explanation,0,-4000,0.8,-3500,1,0,-3500,-5000,-3500,0.7,0.7,10,10,0.5,20
openai/gpt-4.1,loss,no_explanation,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0,0.4,10,10,0.3,20
openai/gpt-4.1,loss,no_explanation,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,0.1,1,10,10,0.05,20
openai/gpt-4.1,loss,one_sentence_reasoning,0,-4000,0.8,-3500,1,0,-3500,-5000,-3500,0.8,0,10,10,0.9,20
openai/gpt-4.1,loss,one_sentence_reasoning,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0,0,10,10,0.5,20
openai/gpt-4.1,loss,one_sentence_reasoning,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,0.7,0.9,10,10,0.4,20
openai/gpt-5.1,gain,math_reasoning_one,0,0.7,0.1,0.8,0.2,0,0,7,4,0,1,20,20,0,40
openai/gpt-5.1,gain,math_reasoning_one,0,33.3,0.33,32.64,0.34,0,0,100,96,1,0,20,20,1,40
openai/gpt-5.1,gain,math_reasoning_one,0,4000,0.8,3500,1,0,3500,5000,3500,1,0,20,20,1,40
openai/gpt-5.1,gain,no_explanation,0,0.7,0.1,0.8,0.2,0,0,7,4,0,1,20,20,0,40
openai/gpt-5.1,gain,no_explanation,0,33.3,0.33,32.64,0.34,0,0,100,96,1,0,20,19,1,39
openai/gpt-5.1,gain,no_explanation,0,4000,0.8,3500,1,0,3500,5000,3500,1,0,20,20,1,40
openai/gpt-5.1,gain,one_sentence_reasoning,0,0.7,0.1,0.8,0.2,0,0,7,4,0,1,20,20,0,40
openai/gpt-5.1,gain,one_sentence_reasoning,0,33.3,0.33,32.64,0.34,0,0,100,96,1,0,20,20,1,40
openai/gpt-5.1,gain,one_sentence_reasoning,0,4000,0.8,3500,1,0,3500,5000,3500,1,0,19,20,1,39
openai/gpt-5.1,loss,math_reasoning_one,0,-4000,0.8,-3500,1,0,-3500,-5000,-3500,0,1,20,20,0,40
openai/gpt-5.1,loss,math_reasoning_one,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0,1,20,20,0,40
openai/gpt-5.1,loss,math_reasoning_one,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1,0,19,20,1,39
openai/gpt-5.1,loss,no_explanation,0,-4000,0.8,-3500,1,0,-3500,-5000,-3500,0.2,0.95,20,20,0.125,40
openai/gpt-5.1,loss,no_explanation,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0,1,20,20,0,40
openai/gpt-5.1,loss,no_explanation,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1,0,20,20,1,40
openai/gpt-5.1,loss,one_sentence_reasoning,0,-4000,0.8,-3500,1,0,-3500,-5000,-3500,0.15,0.9,20,20,0.125,40
openai/gpt-5.1,loss,one_sentence_reasoning,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0,1,20,20,0,40
openai/gpt-5.1,loss,one_sentence_reasoning,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1,0,19,20,1,39
