Model,frame,Prompt_Style,Sample_Size,ev_a,p_a,ev_b,p_b,y_a,y_b,x_a,x_b,ratio_a_False,ratio_a_True,n_valid_False,n_valid_True,average_first_option_rate,n_valid_total
Qwen/Qwen2.5-7B-Instruct,loss,one_sentence_reasoning,0,-4000.0,0.8,-3500.0,1.0,0,-3500,-5000,-3500,0.0,0.6,10.0,10.0,0.2,20.0
Qwen/Qwen2.5-7B-Instruct,loss,one_sentence_reasoning,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,1.0,0.6,10.0,10.0,0.7,20.0
Qwen/Qwen2.5-7B-Instruct,loss,one_sentence_reasoning,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1.0,0.8,10.0,10.0,0.6,20.0
Qwen/Qwen2.5-Math-7B-Instruct,gain,math_reasoning_one,0,0.7,0.1,0.8,0.2,0,0,7,4,0.0,1.0,9.0,10.0,0.0,19.0
Qwen/Qwen2.5-Math-7B-Instruct,gain,math_reasoning_one,0,33.3,0.33,32.64,0.34,0,0,100,96,1.0,0.0,10.0,10.0,1.0,20.0
Qwen/Qwen2.5-Math-7B-Instruct,gain,math_reasoning_one,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,0.9,0.0,10.0,10.0,0.95,20.0
Qwen/Qwen2.5-Math-7B-Instruct,gain,no_explanation,0,0.7,0.1,0.8,0.2,0,0,7,4,0.0,1.0,9.0,9.0,0.0,18.0
Qwen/Qwen2.5-Math-7B-Instruct,gain,no_explanation,0,33.3,0.33,32.64,0.34,0,0,100,96,1.0,0.0,10.0,10.0,1.0,20.0
Qwen/Qwen2.5-Math-7B-Instruct,gain,no_explanation,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,1.0,0.0,10.0,10.0,1.0,20.0
Qwen/Qwen2.5-Math-7B-Instruct,gain,one_sentence_reasoning,0,0.7,0.1,0.8,0.2,0,0,7,4,0.125,0.8888888888888888,8.0,9.0,0.1180555555555555,17.0
Qwen/Qwen2.5-Math-7B-Instruct,gain,one_sentence_reasoning,0,33.3,0.33,32.64,0.34,0,0,100,96,1.0,0.0,10.0,10.0,1.0,20.0
Qwen/Qwen2.5-Math-7B-Instruct,gain,one_sentence_reasoning,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,1.0,0.0,10.0,10.0,1.0,20.0
Qwen/Qwen2.5-Math-7B-Instruct,loss,math_reasoning_one,0,-4000.0,0.8,-3500.0,1.0,0,-3500,-5000,-3500,0.2,0.9,10.0,10.0,0.15,20.0
Qwen/Qwen2.5-Math-7B-Instruct,loss,math_reasoning_one,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.0,0.8,10.0,10.0,0.0999999999999999,20.0
Qwen/Qwen2.5-Math-7B-Instruct,loss,math_reasoning_one,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,0.9,0.0,10.0,10.0,0.95,20.0
Qwen/Qwen2.5-Math-7B-Instruct,loss,no_explanation,0,-4000.0,0.8,-3500.0,1.0,0,-3500,-5000,-3500,0.2,1.0,10.0,10.0,0.1,20.0
Qwen/Qwen2.5-Math-7B-Instruct,loss,no_explanation,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.0,0.6,10.0,10.0,0.2,20.0
Qwen/Qwen2.5-Math-7B-Instruct,loss,no_explanation,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1.0,0.1111111111111111,10.0,9.0,0.9444444444444444,19.0
Qwen/Qwen2.5-Math-7B-Instruct,loss,one_sentence_reasoning,0,-4000.0,0.8,-3500.0,1.0,0,-3500,-5000,-3500,0.1,0.8888888888888888,10.0,9.0,0.1055555555555555,19.0
Qwen/Qwen2.5-Math-7B-Instruct,loss,one_sentence_reasoning,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.1,0.7,10.0,10.0,0.2,20.0
Qwen/Qwen2.5-Math-7B-Instruct,loss,one_sentence_reasoning,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1.0,0.0,10.0,9.0,1.0,19.0
Qwen/Qwen3-30B-A3B-Instruct-2507,gain,math_reasoning_one,0,0.7,0.1,0.8,0.2,0,0,7,4,0.6,1.0,10.0,10.0,0.3,20.0
Qwen/Qwen3-30B-A3B-Instruct-2507,gain,math_reasoning_one,0,33.3,0.33,32.64,0.34,0,0,100,96,1.0,0.6,10.0,10.0,0.7,20.0
Qwen/Qwen3-30B-A3B-Instruct-2507,gain,math_reasoning_one,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,1.0,0.6,9.0,10.0,0.7,19.0
Qwen/Qwen3-30B-A3B-Instruct-2507,gain,no_explanation,0,0.7,0.1,0.8,0.2,0,0,7,4,1.0,1.0,10.0,10.0,0.5,20.0
Qwen/Qwen3-30B-A3B-Instruct-2507,gain,no_explanation,0,33.3,0.33,32.64,0.34,0,0,100,96,1.0,1.0,10.0,10.0,0.5,20.0
Qwen/Qwen3-30B-A3B-Instruct-2507,gain,no_explanation,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,1.0,0.0,10.0,10.0,1.0,20.0
Qwen/Qwen3-30B-A3B-Instruct-2507,gain,one_sentence_reasoning,0,0.7,0.1,0.8,0.2,0,0,7,4,1.0,1.0,10.0,10.0,0.5,20.0
Qwen/Qwen3-30B-A3B-Instruct-2507,gain,one_sentence_reasoning,0,33.3,0.33,32.64,0.34,0,0,100,96,1.0,1.0,10.0,10.0,0.5,20.0
Qwen/Qwen3-30B-A3B-Instruct-2507,gain,one_sentence_reasoning,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,1.0,0.0,10.0,10.0,1.0,20.0
Qwen/Qwen3-30B-A3B-Instruct-2507,loss,math_reasoning_one,0,-4000.0,0.8,-3500.0,1.0,0,-3500,-5000,-3500,0.4,0.9,10.0,10.0,0.25,20.0
Qwen/Qwen3-30B-A3B-Instruct-2507,loss,math_reasoning_one,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.5,1.0,10.0,10.0,0.25,20.0
Qwen/Qwen3-30B-A3B-Instruct-2507,loss,math_reasoning_one,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1.0,0.3,10.0,10.0,0.85,20.0
Qwen/Qwen3-30B-A3B-Instruct-2507,loss,no_explanation,0,-4000.0,0.8,-3500.0,1.0,0,-3500,-5000,-3500,1.0,0.0,10.0,10.0,1.0,20.0
Qwen/Qwen3-30B-A3B-Instruct-2507,loss,no_explanation,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,1.0,1.0,10.0,10.0,0.5,20.0
Qwen/Qwen3-30B-A3B-Instruct-2507,loss,no_explanation,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1.0,1.0,10.0,10.0,0.5,20.0
Qwen/Qwen3-30B-A3B-Instruct-2507,loss,one_sentence_reasoning,0,-4000.0,0.8,-3500.0,1.0,0,-3500,-5000,-3500,0.7,0.0,10.0,10.0,0.85,20.0
Qwen/Qwen3-30B-A3B-Instruct-2507,loss,one_sentence_reasoning,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,1.0,1.0,10.0,10.0,0.5,20.0
Qwen/Qwen3-30B-A3B-Instruct-2507,loss,one_sentence_reasoning,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1.0,1.0,10.0,10.0,0.5,20.0
Qwen/Qwen3-30B-A3B-Thinking-2507,gain,math_reasoning_one,0,0.7,0.1,0.8,0.2,0,0,7,4,0.0,1.0,10.0,9.0,0.0,19.0
Qwen/Qwen3-30B-A3B-Thinking-2507,gain,math_reasoning_one,0,33.3,0.33,32.64,0.34,0,0,100,96,1.0,0.0,4.0,8.0,1.0,12.0
Qwen/Qwen3-30B-A3B-Thinking-2507,gain,math_reasoning_one,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,1.0,0.0,9.0,8.0,1.0,17.0
Qwen/Qwen3-30B-A3B-Thinking-2507,gain,no_explanation,0,0.7,0.1,0.8,0.2,0,0,7,4,0.0,1.0,10.0,10.0,0.0,20.0
Qwen/Qwen3-30B-A3B-Thinking-2507,gain,no_explanation,0,33.3,0.33,32.64,0.34,0,0,100,96,1.0,0.0,4.0,10.0,1.0,14.0
Qwen/Qwen3-30B-A3B-Thinking-2507,gain,no_explanation,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,1.0,0.25,7.0,8.0,0.875,15.0
Qwen/Qwen3-30B-A3B-Thinking-2507,gain,one_sentence_reasoning,0,0.7,0.1,0.8,0.2,0,0,7,4,0.0,1.0,10.0,8.0,0.0,18.0
Qwen/Qwen3-30B-A3B-Thinking-2507,gain,one_sentence_reasoning,0,33.3,0.33,32.64,0.34,0,0,100,96,1.0,0.0,8.0,4.0,1.0,12.0
Qwen/Qwen3-30B-A3B-Thinking-2507,gain,one_sentence_reasoning,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,0.8,0.4285714285714285,5.0,7.0,0.6857142857142857,12.0
Qwen/Qwen3-30B-A3B-Thinking-2507,loss,math_reasoning_one,0,-4000.0,0.8,-3500.0,1.0,0,-3500,-5000,-3500,0.0,1.0,9.0,4.0,0.0,13.0
Qwen/Qwen3-30B-A3B-Thinking-2507,loss,math_reasoning_one,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.0,1.0,9.0,8.0,0.0,17.0
Qwen/Qwen3-30B-A3B-Thinking-2507,loss,math_reasoning_one,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1.0,0.0,7.0,8.0,1.0,15.0
Qwen/Qwen3-30B-A3B-Thinking-2507,loss,no_explanation,0,-4000.0,0.8,-3500.0,1.0,0,-3500,-5000,-3500,0.0,1.0,3.0,3.0,0.0,6.0
Qwen/Qwen3-30B-A3B-Thinking-2507,loss,no_explanation,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.0,1.0,4.0,6.0,0.0,10.0
Qwen/Qwen3-30B-A3B-Thinking-2507,loss,no_explanation,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1.0,0.0,7.0,9.0,1.0,16.0
Qwen/Qwen3-30B-A3B-Thinking-2507,loss,one_sentence_reasoning,0,-4000.0,0.8,-3500.0,1.0,0,-3500,-5000,-3500,0.0,,5.0,,,5.0
Qwen/Qwen3-30B-A3B-Thinking-2507,loss,one_sentence_reasoning,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.0,1.0,2.0,4.0,0.0,6.0
Qwen/Qwen3-30B-A3B-Thinking-2507,loss,one_sentence_reasoning,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1.0,0.0,4.0,8.0,1.0,12.0
allenai/Olmo-3-32B-Think,gain,math_reasoning_one,0,0.7,0.1,0.8,0.2,0,0,7,4,0.0,1.0,9.0,8.0,0.0,17.0
allenai/Olmo-3-32B-Think,gain,math_reasoning_one,0,33.3,0.33,32.64,0.34,0,0,100,96,1.0,0.0,8.0,10.0,1.0,18.0
allenai/Olmo-3-32B-Think,gain,math_reasoning_one,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,1.0,0.0,10.0,7.0,1.0,17.0
allenai/Olmo-3-32B-Think,gain,no_explanation,0,0.7,0.1,0.8,0.2,0,0,7,4,0.0,1.0,17.0,7.0,0.0,24.0
allenai/Olmo-3-32B-Think,gain,no_explanation,0,33.3,0.33,32.64,0.34,0,0,100,96,1.0,0.0,18.0,9.0,1.0,27.0
allenai/Olmo-3-32B-Think,gain,no_explanation,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,1.0,0.0,27.0,8.0,1.0,35.0
allenai/Olmo-3-32B-Think,gain,one_sentence_reasoning,0,0.7,0.1,0.8,0.2,0,0,7,4,0.0,1.0,19.0,8.0,0.0,27.0
allenai/Olmo-3-32B-Think,gain,one_sentence_reasoning,0,33.3,0.33,32.64,0.34,0,0,100,96,1.0,0.0,17.0,10.0,1.0,27.0
allenai/Olmo-3-32B-Think,gain,one_sentence_reasoning,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,1.0,0.0,13.0,8.0,1.0,21.0
allenai/Olmo-3-32B-Think,loss,math_reasoning_one,0,-4000.0,0.8,-3500.0,1.0,0,-3500,-5000,-3500,0.0,1.0,6.0,5.0,0.0,11.0
allenai/Olmo-3-32B-Think,loss,math_reasoning_one,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.0,1.0,10.0,9.0,0.0,19.0
allenai/Olmo-3-32B-Think,loss,math_reasoning_one,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1.0,0.0,9.0,10.0,1.0,19.0
allenai/Olmo-3-32B-Think,loss,no_explanation,0,-4000.0,0.8,-3500.0,1.0,0,-3500,-5000,-3500,0.0,1.0,4.0,1.0,0.0,5.0
allenai/Olmo-3-32B-Think,loss,no_explanation,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.0,1.0,6.0,8.0,0.0,14.0
allenai/Olmo-3-32B-Think,loss,no_explanation,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1.0,0.0,5.0,5.0,1.0,10.0
allenai/Olmo-3-32B-Think,loss,one_sentence_reasoning,0,-4000.0,0.8,-3500.0,1.0,0,-3500,-5000,-3500,0.0,1.0,2.0,3.0,0.0,5.0
allenai/Olmo-3-32B-Think,loss,one_sentence_reasoning,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.0,1.0,9.0,10.0,0.0,19.0
allenai/Olmo-3-32B-Think,loss,one_sentence_reasoning,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1.0,0.0,6.0,9.0,1.0,15.0
allenai/Olmo-3-32B-Think-DPO,gain,math_reasoning_one,0,0.7,0.1,0.8,0.2,0,0,7,4,0.0,1.0,9.0,5.0,0.0,14.0
allenai/Olmo-3-32B-Think-DPO,gain,math_reasoning_one,0,33.3,0.33,32.64,0.34,0,0,100,96,1.0,0.0,9.0,9.0,1.0,18.0
allenai/Olmo-3-32B-Think-DPO,gain,math_reasoning_one,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,1.0,0.0,9.0,8.0,1.0,17.0
allenai/Olmo-3-32B-Think-DPO,gain,no_explanation,0,0.7,0.1,0.8,0.2,0,0,7,4,0.0,1.0,9.0,9.0,0.0,18.0
allenai/Olmo-3-32B-Think-DPO,gain,no_explanation,0,33.3,0.33,32.64,0.34,0,0,100,96,1.0,0.0,7.0,8.0,1.0,15.0
allenai/Olmo-3-32B-Think-DPO,gain,no_explanation,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,1.0,0.0,10.0,7.0,1.0,17.0
allenai/Olmo-3-32B-Think-DPO,gain,one_sentence_reasoning,0,0.7,0.1,0.8,0.2,0,0,7,4,0.0,1.0,5.0,3.0,0.0,8.0
allenai/Olmo-3-32B-Think-DPO,gain,one_sentence_reasoning,0,33.3,0.33,32.64,0.34,0,0,100,96,1.0,,3.0,,,3.0
allenai/Olmo-3-32B-Think-DPO,gain,one_sentence_reasoning,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,1.0,0.0,3.0,5.0,1.0,8.0
allenai/Olmo-3-32B-Think-DPO,loss,math_reasoning_one,0,-4000.0,0.8,-3500.0,1.0,0,-3500,-5000,-3500,0.0,1.0,8.0,7.0,0.0,15.0
allenai/Olmo-3-32B-Think-DPO,loss,math_reasoning_one,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.0,1.0,8.0,6.0,0.0,14.0
allenai/Olmo-3-32B-Think-DPO,loss,math_reasoning_one,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1.0,0.0,10.0,10.0,1.0,20.0
allenai/Olmo-3-32B-Think-DPO,loss,no_explanation,0,-4000.0,0.8,-3500.0,1.0,0,-3500,-5000,-3500,0.0,1.0,7.0,3.0,0.0,10.0
allenai/Olmo-3-32B-Think-DPO,loss,no_explanation,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.0,1.0,6.0,3.0,0.0,9.0
allenai/Olmo-3-32B-Think-DPO,loss,no_explanation,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1.0,0.0,8.0,7.0,1.0,15.0
allenai/Olmo-3-32B-Think-DPO,loss,one_sentence_reasoning,0,-4000.0,0.8,-3500.0,1.0,0,-3500,-5000,-3500,0.0,1.0,1.0,5.0,0.0,6.0
allenai/Olmo-3-32B-Think-DPO,loss,one_sentence_reasoning,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.0,1.0,4.0,6.0,0.0,10.0
allenai/Olmo-3-32B-Think-DPO,loss,one_sentence_reasoning,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1.0,0.0,5.0,1.0,1.0,6.0
allenai/Olmo-3-32B-Think-SFT,gain,math_reasoning_one,0,0.7,0.1,0.8,0.2,0,0,7,4,0.0,1.0,7.0,8.0,0.0,15.0
allenai/Olmo-3-32B-Think-SFT,gain,math_reasoning_one,0,33.3,0.33,32.64,0.34,0,0,100,96,1.0,0.0,8.0,10.0,1.0,18.0
allenai/Olmo-3-32B-Think-SFT,gain,math_reasoning_one,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,1.0,0.0,9.0,9.0,1.0,18.0
allenai/Olmo-3-32B-Think-SFT,gain,no_explanation,0,0.7,0.1,0.8,0.2,0,0,7,4,0.0,1.0,10.0,9.0,0.0,19.0
allenai/Olmo-3-32B-Think-SFT,gain,no_explanation,0,33.3,0.33,32.64,0.34,0,0,100,96,1.0,0.0,8.0,9.0,1.0,17.0
allenai/Olmo-3-32B-Think-SFT,gain,no_explanation,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,1.0,0.0,9.0,9.0,1.0,18.0
allenai/Olmo-3-32B-Think-SFT,gain,one_sentence_reasoning,0,0.7,0.1,0.8,0.2,0,0,7,4,0.0,1.0,5.0,4.0,0.0,9.0
allenai/Olmo-3-32B-Think-SFT,gain,one_sentence_reasoning,0,33.3,0.33,32.64,0.34,0,0,100,96,1.0,0.0,5.0,5.0,1.0,10.0
allenai/Olmo-3-32B-Think-SFT,gain,one_sentence_reasoning,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,1.0,0.0,4.0,4.0,1.0,8.0
allenai/Olmo-3-32B-Think-SFT,loss,math_reasoning_one,0,-4000.0,0.8,-3500.0,1.0,0,-3500,-5000,-3500,0.0,1.0,7.0,7.0,0.0,14.0
allenai/Olmo-3-32B-Think-SFT,loss,math_reasoning_one,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.0,1.0,10.0,8.0,0.0,18.0
allenai/Olmo-3-32B-Think-SFT,loss,math_reasoning_one,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1.0,0.0,8.0,9.0,1.0,17.0
allenai/Olmo-3-32B-Think-SFT,loss,no_explanation,0,-4000.0,0.8,-3500.0,1.0,0,-3500,-5000,-3500,0.0,1.0,7.0,5.0,0.0,12.0
allenai/Olmo-3-32B-Think-SFT,loss,no_explanation,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.0,1.0,9.0,8.0,0.0,17.0
allenai/Olmo-3-32B-Think-SFT,loss,no_explanation,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1.0,0.0,7.0,8.0,1.0,15.0
allenai/Olmo-3-32B-Think-SFT,loss,one_sentence_reasoning,0,-4000.0,0.8,-3500.0,1.0,0,-3500,-5000,-3500,0.0,1.0,1.0,3.0,0.0,4.0
allenai/Olmo-3-32B-Think-SFT,loss,one_sentence_reasoning,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.0,1.0,6.0,5.0,0.0,11.0
allenai/Olmo-3-32B-Think-SFT,loss,one_sentence_reasoning,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1.0,0.0,5.0,6.0,1.0,11.0
allenai/Olmo-3-7B-Instruct,gain,math_reasoning_one,0,0.7,0.1,0.8,0.2,0,0,7,4,0.1111111111111111,1.0,9.0,8.0,0.0555555555555555,17.0
allenai/Olmo-3-7B-Instruct,gain,math_reasoning_one,0,33.3,0.33,32.64,0.34,0,0,100,96,1.0,0.0,10.0,9.0,1.0,19.0
allenai/Olmo-3-7B-Instruct,gain,math_reasoning_one,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,1.0,0.1111111111111111,9.0,9.0,0.9444444444444444,18.0
allenai/Olmo-3-7B-Instruct,gain,no_explanation,0,0.7,0.1,0.8,0.2,0,0,7,4,0.5555555555555556,0.9,9.0,10.0,0.3277777777777778,19.0
allenai/Olmo-3-7B-Instruct,gain,no_explanation,0,33.3,0.33,32.64,0.34,0,0,100,96,0.7,0.5,10.0,10.0,0.6,20.0
allenai/Olmo-3-7B-Instruct,gain,no_explanation,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,1.0,0.8,10.0,10.0,0.6,20.0
allenai/Olmo-3-7B-Instruct,gain,one_sentence_reasoning,0,0.7,0.1,0.8,0.2,0,0,7,4,0.6,1.0,10.0,9.0,0.3,19.0
allenai/Olmo-3-7B-Instruct,gain,one_sentence_reasoning,0,33.3,0.33,32.64,0.34,0,0,100,96,0.6,0.3333333333333333,10.0,9.0,0.6333333333333333,19.0
allenai/Olmo-3-7B-Instruct,gain,one_sentence_reasoning,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,1.0,0.5,9.0,6.0,0.75,15.0
allenai/Olmo-3-7B-Instruct,loss,math_reasoning_one,0,-4000.0,0.8,-3500.0,1.0,0,-3500,-5000,-3500,0.0,0.8571428571428571,9.0,7.0,0.0714285714285714,16.0
allenai/Olmo-3-7B-Instruct,loss,math_reasoning_one,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.0,1.0,8.0,10.0,0.0,18.0
allenai/Olmo-3-7B-Instruct,loss,math_reasoning_one,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1.0,0.0,9.0,8.0,1.0,17.0
allenai/Olmo-3-7B-Instruct,loss,no_explanation,0,-4000.0,0.8,-3500.0,1.0,0,-3500,-5000,-3500,0.3,0.7,10.0,10.0,0.3,20.0
allenai/Olmo-3-7B-Instruct,loss,no_explanation,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.6,0.4,10.0,10.0,0.6,20.0
allenai/Olmo-3-7B-Instruct,loss,no_explanation,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,0.6,0.8,10.0,10.0,0.3999999999999999,20.0
allenai/Olmo-3-7B-Instruct,loss,one_sentence_reasoning,0,-4000.0,0.8,-3500.0,1.0,0,-3500,-5000,-3500,0.375,0.5555555555555556,8.0,9.0,0.4097222222222222,17.0
allenai/Olmo-3-7B-Instruct,loss,one_sentence_reasoning,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.4,0.2,10.0,10.0,0.6000000000000001,20.0
allenai/Olmo-3-7B-Instruct,loss,one_sentence_reasoning,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,0.7,0.8,10.0,10.0,0.4499999999999999,20.0
allenai/Olmo-3-7B-Instruct-DPO,gain,math_reasoning_one,0,0.7,0.1,0.8,0.2,0,0,7,4,0.0,1.0,10.0,8.0,0.0,18.0
allenai/Olmo-3-7B-Instruct-DPO,gain,math_reasoning_one,0,33.3,0.33,32.64,0.34,0,0,100,96,0.9,0.0,10.0,10.0,0.95,20.0
allenai/Olmo-3-7B-Instruct-DPO,gain,math_reasoning_one,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,1.0,0.1111111111111111,10.0,9.0,0.9444444444444444,19.0
allenai/Olmo-3-7B-Instruct-DPO,gain,no_explanation,0,0.7,0.1,0.8,0.2,0,0,7,4,0.3333333333333333,0.8,9.0,10.0,0.2666666666666666,19.0
allenai/Olmo-3-7B-Instruct-DPO,gain,no_explanation,0,33.3,0.33,32.64,0.34,0,0,100,96,0.8,0.4,10.0,10.0,0.7,20.0
allenai/Olmo-3-7B-Instruct-DPO,gain,no_explanation,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,0.9,0.7,10.0,10.0,0.6000000000000001,20.0
allenai/Olmo-3-7B-Instruct-DPO,gain,one_sentence_reasoning,0,0.7,0.1,0.8,0.2,0,0,7,4,0.25,0.8333333333333334,8.0,6.0,0.2083333333333333,14.0
allenai/Olmo-3-7B-Instruct-DPO,gain,one_sentence_reasoning,0,33.3,0.33,32.64,0.34,0,0,100,96,0.8,0.3333333333333333,10.0,9.0,0.7333333333333334,19.0
allenai/Olmo-3-7B-Instruct-DPO,gain,one_sentence_reasoning,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,1.0,0.3333333333333333,6.0,3.0,0.8333333333333334,9.0
allenai/Olmo-3-7B-Instruct-DPO,loss,math_reasoning_one,0,-4000.0,0.8,-3500.0,1.0,0,-3500,-5000,-3500,0.2222222222222222,1.0,9.0,9.0,0.1111111111111111,18.0
allenai/Olmo-3-7B-Instruct-DPO,loss,math_reasoning_one,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.0,1.0,10.0,9.0,0.0,19.0
